account,totalGasCost,appearanceCount,migrationTransactionHashes,Airdrop Transaction,Airdrop Transasction Status
0x02e9Af2287ec46060a3687E648d521B61aa4a193,2322338745320553,1,['0x48b2294eb5aa2a40a18100f9381807ca607361550d8195ac28a7c40dadd97870'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0308794CBD50174be3401e08E352960b2E39B9D0,1214592357060096,1,['0x09f5b9234534bd7f53d82f452060ef4066787a5f9302baa38d3cca019200542b'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0309296c786D5Ca6e0D4e2768cC0adBDb2BD4243,2.91651E+15,1,['0x45b5a77e37c7f5c0764776f319bad76de0915e1058e0b0df2204a112f719a8c2'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0318bf170FA877eb0e6Eca2E2Fd008C416da15c1,5.86891E+15,1,['0x50ecfdf96e04d752e33abbc5d2f6eebfd463b27c839d39654d7ce4946db770b0'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0321bE949876c2545aC121379C620C2a0480B758,2188176576917125,1,['0x80f1d105b3f0cceb5eeb0fa8b3a59b900b2b6289963ec67c121740c9f29796c3'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x032d46936d9a510337E197CFD628eBa64eD000d2,1999551465416576,1,['0x19deab42da1214a4735f5d139210b8f0c2b8c4da8bf31e4c704a25481dea7b99'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x03409D1B3c69f5516F84A5eE041Ae25a36A7A8d9,2621918933917018,1,['0xe165ad9274319effc2af2b4828e9b0b8cb0381409dfb13e33f08b32204526acb'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0341ab2d783648be716FA78A48eEDF13f151335e,3624451086276995,1,['0xb5eb380dda46d420bd949d89fe1ad0f7426b0b1883f0dc1dc6550ed1df8deb7f'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x0365566ef442e63ea7E6905AFDE6bB749c845fA6,3388042571898919,1,['0x1b621c09ba67143537a4a601903284c08b3ef43dfb1ea7f7570ff6406b67ae05'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
0x036E0865f170E5cfbbCA7B8d13ab0d6Ddc45F475,2.38671E+15,1,['0x41e380a3ed5ec71b2f124dc058fea10004fe38d7c7a8926c3c9851f16a222033'],https://etherscan.io/tx/0xf9aaddd954eeaaedc4530a84f6f9f117df01feecfc230fbe46ec99d8892c124c,SUCCESS
